name,icao,region,elev_ft,rwy_m,rwy_desc,surface,fuel,lat,lon,remarks,source
Luis Munoz Marin International Airport,TJSJ,PR,9.0,3049.0,08/26,ASP,,18.4394,-66.001801,,AIP
O.R. Tambo International Airport,FAOR,ZA,5558.0,4418.0,03L/21R,ASP,,-26.140081,28.246801,,AIP
Jacksonville International Airport,KJAX,US,30.0,3048.0,08/26,CON,,30.492469,-81.687813,,AIP
Hamburg Helmut Schmidt Airport,EDDH,DE,53.0,3666.0,15/33,ASP,,53.630402,9.98823,,AIP
Glasgow Airport,EGPF,GB,26.0,2661.0,05/23,ASP,,55.871899,-4.43306,,AIP
São Paulo/Guarulhos–Governor André Franco Montoro International Airport,SBGR,BR,2461.0,3700.0,10L/28R,ASP,,-23.431274,-46.469954,,AIP
Ben Gurion International Airport,LLBG,IL,135.0,4062.0,08/26,ASP,,32.011398,34.8867,,AIP
Tucson International Airport,KTUS,US,2643.0,3352.0,12/30,ASP,,32.115004,-110.938053,,AIP
Buffalo Niagara International Airport,KBUF,US,728.0,2691.0,05/23,ASP,,42.940498,-78.732201,,AIP
Bradley International Airport,KBDL,US,173.0,2899.0,06/24,ASP,,41.938555,-72.688016,,AIP
Cologne Bonn Airport,EDDK,DE,302.0,3815.0,13L/31R,ASP,,50.865898,7.14274,,AIP
Ted Stevens Anchorage International Airport,PANC,US,152.0,3780.0,07R/25L,ASP,,61.179004,-149.992561,,AIP
Don Mueang International Airport,VTBD,TH,9.0,3700.0,03L/21R,ASP,,13.9126,100.607002,,AIP
Auckland International Airport,NZAA,NZ,23.0,3635.0,05R/23L,CON,,-37.01199,174.786331,,AIP
Hamad International Airport,OTHH,QA,13.0,4850.0,16L/34R,ASPHALT,,25.273056,51.608056,,AIP
Taiwan Taoyuan International Airport,RCTP,TW,106.0,3660.0,05L/23R,CON,,25.0777,121.233002,,AIP
Sheremetyevo International Airport,UUEE,RU,622.0,3700.0,06R/24L,CON,,55.976858,37.41121,,AIP
Ezeiza International Airport - Ministro Pistarini,SAEZ,AR,67.0,3300.0,11/29,ASP,,-34.8222,-58.5358,,AIP
Cairo International Airport,HECA,EG,322.0,4000.0,05C/23C,ASPHALT,,30.111534,31.396694,,AIP
Ottawa Macdonald-Cartier International Airport,CYOW,CA,374.0,3048.0,14/32,ASP,,45.322498,-75.669197,,AIP
Zayed International Airport,OMAA,AE,88.0,4106.0,13R/31L,ASP,,24.440966,54.649237,,AIP
